"layer","tier","id","label","difficulty"
"0","background_electoral","constituency","Constituency","1"
"0","background_electoral","county","County","1"
"0","background_electoral","dail_eireann","Dail Eireann","1"
"0","background_electoral","electoral_commission","An Coimisiun Toghchain (Electoral Commission)","1"
"0","background_electoral","proportional_representation","Proportional representation (PR)","2"
"0","data","census_data","Census population data","1"
"0","data","electoral_division","Electoral division (ED)","1"
"0","data","graph","Graph (nodes and edges)","2"
"0","algorithm","probability_distribution","Probability distribution","2"
"1","background_electoral","pr_stv","PR-STV (single transferable vote)","3"
"1","background_electoral","redistricting","Electoral redistricting","1"
"1","background_electoral","teachta_dala","Teachta Dala (TD)","1"
"1","data","adjacency_graph","ED adjacency graph","2"
"1","data","configuration","Configuration","2"
"1","data","map_concept","Map (building-block view)","2"
"1","metric","compactness","Compactness","2"
"1","metric","contiguity","Contiguity","2"
"1","algorithm","markov_chain","Markov chain","3"
"1","algorithm","monte_carlo","Monte Carlo methods","3"
"1","meaning","decision_support","Decision support, not decision making","2"
"2","background_electoral","boundary_review","Constituency review","1"
"2","background_electoral","constitution_16_2","Constitutional provisions (Article 16.2)","2"
"2","background_electoral","gerrymandering","Gerrymandering","2"
"2","background_electoral","quota_droop","Quota (Droop quota)","3"
"2","background_electoral","seat_magnitude","Seat magnitude (3-5 seats)","2"
"2","data","noncontiguous_eds","Split (non-contiguous) EDs","2"
"2","data","rule_set","Rule set","2"
"2","data","solution_space","Solution space (combinatorial explosion)","2"
"2","metric","community_boundaries","Community-of-interest boundaries","2"
"2","metric","convex_hull","Convex hull measure","3"
"2","metric","county_breach_metric","County-boundary breach measure","3"
"2","metric","national_average","National average (National Ratio)","1"
"2","metric","temporal_continuity","Continuity with existing boundaries","3"
"2","algorithm","detailed_balance","Detailed balance","5"
"2","algorithm","move_proposal","Boundary-flip moves","3"
"3","background_electoral","terms_of_reference","Terms of reference (Electoral Reform Act 2022, s.57)","2"
"3","background_electoral","vote_transfer","Vote transfers","3"
"3","data","boundary_set","Boundaries (a valid set of constituencies)","2"
"3","metric","ser","Seat Equivalent Representation (SER)","2"
"3","algorithm","mcmc","Markov chain Monte Carlo (MCMC)","4"
"3","decision_analysis","ballot_vs_term","Proportionality vs local access","3"
"3","meaning","rule_design_testing","Testing the rules themselves","3"
"3","meaning","transparency","Transparency and auditability","2"
"4","metric","population_weighted_break","Population-weighted rule-breaking","4"
"4","metric","variance","Variance from the national average (v)","3"
"4","algorithm","ensembles","Ensembles of comparison plans","3"
"4","algorithm","metropolis_hastings","Metropolis-Hastings algorithm","4"
"4","decision_analysis","boundary_selection","Choosing among valid boundaries","3"
"4","decision_analysis","hard_vs_soft_constraints","Hard vs soft constraints","3"
"5","metric","alt_variance","Alternative (voter-centred) variance","4"
"5","metric","objective_function","Objective (score) function","3"
"5","metric","variance_5pct","The ±5 percent variance convention","2"
"5","decision_analysis","constraint_hierarchy","The constraint hierarchy problem","3"
"5","meaning","democratic_legitimacy","Democratic legitimacy","2"
"6","physics_model","hamiltonian","Hamiltonian (energy function)","3"
"6","algorithm","optimisation","Optimisation","2"
"6","decision_analysis","variance_tradeoff","The variance vs county trade-off","3"
"6","meaning","normative_vs_math","Normative choices vs mathematics","3"
"7","physics_model","potts_model","Potts model","4"
"7","physics_model","temperature","Temperature (T)","3"
"7","algorithm","local_minima","Local minima","3"
"7","algorithm","multi_objective","Multi-objective optimisation","3"
"8","physics_model","boltzmann","Boltzmann distribution","4"
"8","physics_model","coupling_constants","Coupling constants (J_alpha)","3"
"8","physics_model","electoral_potts","Electoral Potts model","3"
"8","physics_model","ferromagnetic_config","Ferromagnetic configuration","3"
"8","decision_analysis","mcda","Multi-criteria decision analysis (MCDA)","3"
"8","decision_analysis","pareto_frontier","Pareto frontier","4"
"9","physics_model","h_b","H_B (county-boundary term)","4"
"9","physics_model","h_c","H_C (contiguity term)","3"
"9","physics_model","h_d","H_D (compactness term)","3"
"9","physics_model","h_p","H_P (representation term)","4"
"9","algorithm","gibbs","Gibbs sampler","4"
"9","algorithm","metropolis","Metropolis algorithm","4"
"9","algorithm","simulated_annealing","Simulated annealing","3"
"9","decision_analysis","parameter_space","Exploring the parameter space","3"
"9","meaning","interpretability","Interpretability (no black box)","2"
"10","physics_model","total_hamiltonian","Total Hamiltonian H = sum of J_alpha H_alpha","3"
