source_id,target_id,relation,rationale,strength,confidence
dail_eireann,teachta_dala,prerequisite_for,"A TD is by definition a member of the Dail; the institution must exist for the reader before its members do.",hard,high
constituency,teachta_dala,prerequisite_for,"TDs are returned by constituencies; helpful context but a reader can grasp what a TD is without it.",soft,high
teachta_dala,seat_magnitude,prerequisite_for,"Seat magnitude counts TDs per constituency; meaningless without knowing what a TD is.",hard,high
constituency,seat_magnitude,prerequisite_for,"Magnitude is a property of a constituency.",hard,high
constituency,redistricting,prerequisite_for,"Redistricting is the redrawing of constituency boundaries; there is nothing to redraw without the concept of a constituency.",hard,high
proportional_representation,redistricting,motivates,"The paper states redistricting is a necessary consequence of PR: as population shifts, boundaries must move to keep representation even (S1).",hard,high
census_data,boundary_review,prerequisite_for,"Reviews are triggered by and computed from the latest census; the reader must know what the census provides to see why reviews happen when they do.",hard,high
redistricting,boundary_review,prerequisite_for,"A review is the institutionalised Irish form of redistricting.",hard,high
electoral_commission,boundary_review,prerequisite_for,"Reviews are now conducted by the Commission, but the review concept predates it (Constituency Commissions), so this is context rather than a blocker.",soft,high
redistricting,electoral_commission,prerequisite_for,"The Commission is graspable as the independent elections body without redistricting; its boundary role is carried through boundary_review (downgraded per AUDIT.md finding 10).",soft,high
dail_eireann,electoral_commission,prerequisite_for,"The Commission reviews Dail constituencies specifically.",soft,high
proportional_representation,pr_stv,prerequisite_for,"PR-STV is a mechanism for achieving PR; the goal must precede the mechanism.",hard,high
constituency,pr_stv,prerequisite_for,"STV counts happen within multi-member constituencies; the reader needs the container to understand the count.",hard,high
pr_stv,quota_droop,prerequisite_for,"The quota is a component of the STV count.",hard,high
quota_droop,pr_stv,part_of,"The quota is one moving part of the STV counting method.",hard,high
pr_stv,vote_transfer,prerequisite_for,"Transfers only exist inside an STV count.",hard,high
quota_droop,vote_transfer,prerequisite_for,"Surplus transfers are defined relative to the quota; without the quota, surpluses make no sense.",hard,high
vote_transfer,pr_stv,part_of,"Transfers are the mechanism that makes STV proportional in practice.",hard,high
teachta_dala,constitution_16_2,prerequisite_for,"Article 16.2 fixes member numbers and member-to-population ratios; the reader must know what a member (TD) is.",hard,high
constituency,constitution_16_2,prerequisite_for,"Article 16.2.3 is a requirement on the ratio in each constituency.",hard,high
census_data,constitution_16_2,prerequisite_for,"The ratio is anchored to the last preceding census; useful context, but the equal-ratio idea is graspable without it.",soft,high
constituency,terms_of_reference,prerequisite_for,"The terms of reference are conditions on constituencies.",hard,high
county,terms_of_reference,prerequisite_for,"Item (3) requires county boundaries to be preserved as far as practicable; the reader needs counties to parse the rule list.",hard,high
seat_magnitude,terms_of_reference,prerequisite_for,"Item (2) is the 3-5 seat rule; the rule list cannot be read without the magnitude concept.",hard,high
constitution_16_2,terms_of_reference,prerequisite_for,"The statutory terms sit on top of the constitutional provisions; knowing the constitutional floor clarifies what the statute adds.",soft,high
redistricting,gerrymandering,prerequisite_for,"Gerrymandering is the abuse of the boundary-drawing power; the power must be understood before its abuse.",hard,high
constituency,electoral_division,prerequisite_for,"EDs matter here as the building blocks constituencies are assembled from; the bare fact of 3,440 small areas is graspable alone.",soft,high
electoral_division,map_concept,prerequisite_for,"The Map is defined as the collection of building blocks, which in Ireland are the EDs.",hard,high
constituency,map_concept,prerequisite_for,"The Map abstraction only makes sense as the raw material from which constituencies are formed.",hard,high
graph,adjacency_graph,prerequisite_for,"The adjacency graph is a graph; nodes and edges must be understood first.",hard,high
electoral_division,adjacency_graph,prerequisite_for,"The nodes of the adjacency graph are EDs.",hard,high
adjacency_graph,noncontiguous_eds,prerequisite_for,"The split EDs are exceptions to the land-connected edge definition; the reader must know the graph to appreciate the exception.",hard,high
electoral_division,configuration,prerequisite_for,"A configuration is an assignment of every ED to a constituency.",hard,high
