id,label,aliases,tier,kind,plain_definition,formal_definition,why_it_matters,difficulty,paper_ref,confidence
constituency,"Constituency","electoral district;Dail constituency","background_electoral","definition","A geographical area whose voters together elect a fixed number of TDs to the Dail. Ireland currently has 43 of them.","A geographical subdivision of a state created to provide its population with representation in the legislature; in Ireland, a grouping of electoral divisions returning 3 to 5 TDs.","The constituency is the unit whose lines redistricting redraws; where the lines fall decides whose votes are pooled together and how much each vote weighs.",1,"S1 Introduction","high"
dail_eireann,"Dail Eireann","the Dail;Irish national parliament","background_electoral","object","The national parliament of Ireland, whose members are elected from constituencies.","Dail Eireann is the directly elected house of the Oireachtas; its total membership is fixed by law within the bounds set by Article 16.2.2 of the Constitution.","Everything in this course is ultimately about who sits in the Dail and whether voters are represented there evenly.",1,"S1 Introduction","high"
teachta_dala,"Teachta Dala (TD)","TD;Dail deputy;elected representative","background_electoral","definition","An elected member of the Dail. Each constituency elects 3, 4 or 5 TDs.","A Teachta Dala is a member of Dail Eireann returned by a constituency at a general election or by-election.","Representation is counted in TDs: people-per-TD is the yardstick for electoral fairness used throughout the pipeline.",1,"S1 Introduction","high"
county,"County","county boundaries;administrative county","background_electoral","object","One of Ireland's 26 traditional administrative regions, each governed by a county council. Constituency lines are supposed to respect county lines where practicable.","An administrative region of Ireland governed by a county council; constituency boundaries are legally independent of county boundaries but conformity is a statutory consideration.","People identify with their county; breaching county lines is one of the most contested aspects of any boundary change and one of the objectives the algorithm must weigh.",1,"S1, S2.5","high"
proportional_representation,"Proportional representation (PR)","PR;proportionality","background_electoral","principle","The idea that the mix of parties elected should mirror the mix of support among voters.","An electoral system in which the underlying distribution of electorate support for each political party is reflected proportionately in the elected representative body.","PR motivates the whole pipeline: as population shifts, boundaries must move to keep representation even. The paper calls redistricting a necessary consequence of PR.",2,"S1 Introduction","high"
pr_stv,"PR-STV (single transferable vote)","single transferable vote;STV","background_electoral","method","The Irish voting method: you rank candidates 1, 2, 3 and so on, and if your first choice is elected with votes to spare or is eliminated, your vote can move on to your next choice.","Article 16.2.5 of the Constitution requires that Dail members be elected on a system of proportional representation by means of the single transferable vote in multi-member constituencies.","The paper assumes this background. Without PR-STV you cannot see why multi-seat constituencies exist at all, or why their size and shape affect proportionality.",3,"external","high"
quota_droop,"Quota (Droop quota)","electoral quota;the quota","background_electoral","definition","The number of votes that guarantees a candidate a seat: the total valid vote divided by one more than the number of seats, plus one (fractions ignored).","Droop quota = floor(total valid poll / (seats + 1)) + 1, the smallest number such that no more than the available number of seats can reach it.","Explains how STV counts actually decide winners, and why more seats per constituency lowers the bar for smaller parties to win a seat.",3,"external","high"
vote_transfer,"Vote transfers","surplus distribution;elimination transfers","background_electoral","method","When a candidate is elected with a surplus over the quota, or eliminated for having fewest votes, their ballots move to the next preference still in the race.","Under PR-STV, surpluses of elected candidates and all votes of eliminated candidates are redistributed according to next available preferences until all seats are filled.","Transfers are what makes STV proportional in practice; they are the mechanism through which constituency composition shapes who ultimately wins seats.",3,"external","high"
seat_magnitude,"Seat magnitude (3-5 seats)","constituency size;district magnitude;number of members","background_electoral","definition","How many TDs a constituency elects. Irish law currently allows only 3, 4 or 5.","The Electoral Reform Act 2022 (terms of reference, item 2) requires each constituency to return 3, 4 or 5 members; the paper also cites the Electoral Act 1997 for the set {3,4,5}.","Seat magnitude fixes the allowed population sizes of constituencies, drives the min-over-m structure of H_P, and controls the proportionality-versus-locality trade-off.",2,"S1, S3.3.3, fn 3","high"
redistricting,"Electoral redistricting","boundary redrawing;redrawing constituencies","background_electoral","definition","Redrawing the boundary lines that define constituencies, mainly by moving small areas from one constituency to another as population changes.","The process of redrawing the electoral boundaries that make up constituencies; in Ireland, effected by transferring electoral divisions between constituencies and by changing the number of constituencies.","This is the activity the entire COTHROM framework automates and audits; every later concept exists to do this task well.",1,"S1 Introduction","high"
electoral_commission,"An Coimisiun Toghchain (Electoral Commission)","the Electoral Commission;An Coimisiun Toghchain","background_electoral","object","The independent state body, established on 9 February 2023, that oversees elections and reviews Dail constituency boundaries.","A statutory body whose functions include reviewing Dail constituencies after each census and reporting recommendations for boundary changes, subject to the Constitution and terms of reference.","It is the human decision-maker the algorithmic framework is designed to support, not replace.",1,"S1, S1.1","high"
boundary_review,"Constituency review","boundary review;Constituency Commission reports","background_electoral","method","The periodic process, run after each census, in which a commission examines population change and recommends new constituency boundaries in a published report.","A statutory review of Dail constituencies conducted after each census, historically by ad hoc Constituency Commissions (reports 1980-2017) and since 2023 by the Electoral Commission.","The review reports are the real-world outputs the framework aims to make faster, more transparent and more testable; their history (Table 1) is the evidence base for how rules were applied.",1,"S1, S3.2, Table 1","high"
constitution_16_2,"Constitutional provisions (Article 16.2)","Article 16.2.2;Article 16.2.3;one TD per 20,000-30,000","background_electoral","principle","The Constitution requires roughly one TD for every 20,000 to 30,000 people nationally, and, as far as practicable, the same ratio of TDs to population in every constituency.","Article 16.2.2: total Dail membership between one member per 30,000 and one per 20,000 of population. Article 16.2.3: the ratio of members to population, per the last census, shall so far as practicable be the same throughout the country.","These are the unbreakable legal anchors of the whole problem: they define both the size of the Dail and the equal-representation standard every metric tries to capture.",2,"S1 Introduction","high"
terms_of_reference,"Terms of reference (Electoral Reform Act 2022, s.57)","statutory conditions;section 57 objectives","background_electoral","object","The statutory rules a review must observe: 171-181 TDs in total, 3-5 seats per constituency, constituencies in one piece, and due regard to county boundaries, geography and continuity with existing boundaries.","Section 57 of the Electoral Reform Act 2022: (1) 171-181 members; (2) 3, 4 or 5 seats each; (3) county boundaries preserved as far as practicable; (4) contiguity; (5) geographic considerations; (6) continuity of existing arrangements.","This is the rule set the algorithm must encode. The paper notes items (1), (2) and (4) cannot be broken while (3), (5) and (6) can and will be transgressed to some extent.",2,"S1, S3.3","high"
gerrymandering,"Gerrymandering","gerrymander;boundary manipulation","background_electoral","definition","Drawing boundaries deliberately to favour a party or group, named after Elbridge Gerry and the salamander-shaped district he approved.","The deliberate manipulation of electoral boundaries to advantage or disadvantage a political interest, classically detectable in highly non-compact district shapes.","It is the failure mode boundary rules exist to prevent, the historical motivation for compactness measures, and a stress test the framework can run against proposed rule sets.",2,"S2.4","high"
census_data,"Census population data","CSO census;population data update","data","object","The official population counts from the Central Statistics Office census, which every review must work from.","Population as ascertained at the last preceding census (Article 16.2.3), published by the CSO down to small-area level; updated census data is the input that triggers and drives each review.","Population change is the engine of the whole problem: it is what makes yesterday's fair map unfair today.",1,"S1, S3.2, App A","high"
electoral_division,"Electoral division (ED)","ED;electoral divisions;CSO ED","data","object","One of the 3,440 small areas Ireland is divided into. EDs are the building blocks: boundaries change by moving whole EDs between constituencies.","The smallest geographic units used in the redistricting problem; each ED carries a population and a list of neighbours. Note the CSO reports some data at the level of CSO EDs, which differ slightly from EDs.","If you know your ED you can trace exactly how any proposed boundary change affects you; algorithmically, EDs are the atoms every configuration is built from.",1,"S1, S3.1, App A","high"
map_concept,"Map (building-block view)","the Map","data","object","The whole territory seen as a bag of building blocks (the EDs) with their population data attached, before any constituency lines are drawn on it.","The Map is the collection of districts (building blocks) that make up the region to be redistricted; in the Irish case the map is the Republic and the blocks are EDs.","Separating the fixed map from the movable lines is the first abstraction of the paper's framework: reviews change boundaries, never the map itself.",2,"S3.1, Figs 6-7","high"
graph,"Graph (nodes and edges)","network;graph theory","data","definition","A mathematical picture made of dots (nodes) joined by lines (edges), used to record which things are connected to which.","A graph G = (V, E) is a set of vertices V and a set of edges E, each edge joining a pair of vertices.","Almost every technical step - contiguity checks, compactness counts, county-breach counts, the Potts lattice - works on a graph rather than on the physical map.",2,"Fig 1","high"
adjacency_graph,"ED adjacency graph","neighbour graph;contiguity graph","data","object","A graph with one node per ED and an edge wherever two EDs share a land border. It is the algorithm's entire picture of Irish geography.","The graph whose vertices are the 3,440 EDs and whose edges join land-connected EDs, built from the CSO GeoDataFrame; county and community boundaries are overlaid as labelled edges.","Once geography is a graph, legal ideas like contiguous and compact become computable, and the search can restrict moves to genuinely neighbouring areas.",2,"Fig 1, S2.1","high"
noncontiguous_eds,"Split (non-contiguous) EDs","problematic boundary EDs;intrinsically split EDs","data","object","Four EDs are themselves split into pieces that do not touch. The algorithm treats each whole ED as one connected node, which the paper calls a fine approximation.","Exceptions to the land-connected definition of neighbouring EDs; when each ED is absorbed into a single graph node these divisions are treated as land-connected.","An honest caveat: the tidy graph slightly idealises the messy map, and readers should know where the idealisation lives.",2,"S2.3, Fig 3","high"
configuration,"Configuration","assignment;districting plan;electoral map","data","object","One complete possible answer: a label on every ED saying which constituency it belongs to.","A function assigning each of the 3,440 EDs to exactly one of Q constituencies; equivalently one composition of Dail constituencies and their boundaries.","The configuration is the object everything else acts on: metrics score it, algorithms mutate it, and the final recommendation is one of them.",2,"S1, S3.1, S4.1.1","high"
rule_set,"Rule set","redistricting rule set;codified criteria","data","object","The list of criteria that decides whether a proposed map counts as valid - the legal rules written down in a form you can actually check.","The codification of a system's aspirations for its boundaries; applied to a Map it partitions candidate configurations into valid and invalid ones.","The paper's central claim is that your interpretation of the rules is encoded in the boundaries you accept, so the rule set must be explicit and checkable rather than implicit.",2,"S3.1, S3.3, Figs 6-7","high"
boundary_set,"Boundaries (a valid set of constituencies)","valid boundary;boundary configuration","data","object","A full set of constituencies that satisfies the rule set for a given map. Crucially, many different valid Boundaries usually exist for the same rules.","A collection of constituencies that meets the rule set criteria for a specific Map; multiple valid boundary configurations can exist within a given rule set framework.","That validity does not pin down a unique answer is the key fact: it creates the selection problem of which valid map to recommend.",2,"S3.1","high"
solution_space,"Solution space (combinatorial explosion)","state space;space of configurations;combinatorial explosion","data","principle","The collection of all possible ways to assign EDs to constituencies - a number so large no human or computer could ever list them all.","The set of all configurations; the paper notes S(3440, Q) exceeds 10^5000 for Q of 30 or more, with only a tiny sliver satisfying the legal requirements.","The impossibility of enumeration is why sampling and optimisation are needed at all, and why claims like 'this map minimises county breaches' cannot be verified by hand.",2,"S1, S3.4, fn 5","high"
national_average,"National average (National Ratio)","national ratio;people per TD;national average representation","metric","metric","The census population divided by the number of Dail seats: how many people each TD represents on average. On 2022 figures: 5,149,139 people / 174 TDs = 29,593 people per TD.","National Ratio = recorded census population / number of Dail seats (Eq. 1).","This single number is the benchmark of fairness: every constituency is judged by how far its own people-per-TD ratio departs from it.",1,"S2.2, Eq. 1","high"
